frequency,frequency_cm,dos,dos_weighted,dos_convoluted,dos_weighted_convoluted,2w_dos_weighted
-43.8434886097,-1462.4613608425068,0.0,0.0,0.0,0.0,7.222724584842824e-23
-43.7868432756,-1460.5718758808803,0.0,0.0,0.0,0.0,4.88579465810541e-14
-43.730197941499995,-1458.682390919254,0.0,0.0,0.0,0.0,-2.746597452062198e-22
-43.6735526074,-1456.7929059576277,0.0,0.0,0.0,0.0,-1.8578018339394185e-13
-43.6169072733,-1454.9034209960014,0.0,0.0,0.0,0.0,-1.0443843167610192e-21
-43.5602619391,-1453.0139360310395,0.0,0.0,0.0,0.0,7.064246888366581e-13
-43.503616605,-1451.124451069413,0.0,0.0,0.0,0.0,0.0
-43.4469712709,-1449.2349661077867,0.0,0.0,0.0,0.0,-2.6861773344337387e-12
-43.3903259368,-1447.3454811461602,0.0,0.0,0.0,0.0,0.0
-43.3336806026,-1445.4559961811983,0.0,0.0,0.0,0.0,1.021423494884948e-11
-43.2770352685,-1443.566511219572,0.0,0.0,0.0,0.0,-5.74209388011377e-20
-43.2203899344,-1441.6770262579457,0.0,0.0,0.0,0.0,-3.884001419404988e-11
-43.1637446003,-1439.7875412963192,0.0,0.0,0.0,0.0,2.1834591460366307e-19
-43.107099266199995,-1437.8980563346927,0.0,0.0,0.0,0.0,2.2371208230892158e-10
-43.050453931999996,-1436.0085713697308,0.0,0.0,7.952008565829022e-16,8.663683909427108e-19,6.138844627890419e-10
-42.9938085979,-1434.1190864081045,0.0,0.0,1.428974011481787e-14,1.5715062145044237e-17,1.6060331438811534e-09
-42.9371632638,-1432.2296014464782,0.0,0.0,1.4819810606079814e-13,1.6451334562359117e-16,5.619998020444801e-09
-42.8805179297,-1430.3401164848517,0.0,0.0,1.0873303767466757e-12,1.2183927367755578e-15,1.5515347356581953e-08
-42.823872595599994,-1428.4506315232252,0.0,0.0,6.513378772486363e-12,7.367161055606522e-15,3.366150555181391e-08
