frequency,frequency_cm,2PDOS,2PDOS_1,2PDOS_2,2wDOS,2wDOS_1,2wDOS_2,DOS_convolution,DOS_convolution_1,DOS_convolution_2
-42.4973984657475,-1417.5606267502403,5.410343045364508e-05,2.4065860450812066e-05,3.003757000283301e-05,0.0014251022405624642,0.0008889173642126783,0.0005361848763497858,4.515931769914269e-05,1.9971137715687028e-05,2.518817998345566e-05
-42.414314597779274,-1414.7892472258018,5.449784992496687e-05,2.4336385934346508e-05,3.016146399062036e-05,0.001438346016306631,0.0008916573754717234,0.0005466886408349077,4.5471463342940234e-05,2.0177415045963747e-05,2.5294048296976487e-05
-42.33123072981105,-1412.0178677013632,5.491887943090281e-05,2.4632711541953505e-05,3.0286167888949302e-05,0.0014527916023180352,0.0008944103320806435,0.0005583812702373918,4.579132290585478e-05,2.0391533702470254e-05,2.5399789203384527e-05
-42.24814686184283,-1409.2464881769251,5.537079865620537e-05,2.495895967904037e-05,3.0411838977165e-05,0.0014683186252919694,0.0008971763170447675,0.0005711423082472019,4.6122400571503596e-05,2.0616265083531213e-05,2.5506135487972386e-05
-42.1650629938746,-1406.4751086524866,5.5845715951054964e-05,2.530703179024005e-05,3.053868416081491e-05,0.0014847495554822774,0.0008999554140445647,0.0005847941414377127,4.6467858436066806e-05,2.085429954612869e-05,2.5613558889938114e-05
-42.08197912590637,-1403.7037291280483,5.635262051057331e-05,2.5685538002883355e-05,3.066708250768995e-05,0.00150198880684287,0.000902747707442317,0.0005992410994005528,4.683157718145423e-05,2.1108881007564907e-05,2.5722696173889324e-05
-41.998895257938145,-1400.9323496036097,5.682479841611997e-05,2.6026826816730548e-05,3.079797159938943e-05,0.0015202817304827297,0.0009055532822888691,0.0006147284481938606,4.722055284945111e-05,2.138547520162858e-05,2.583507764782253e-05
-41.91581138996992,-1398.1609700791714,5.7320488268610236e-05,2.6386148775469545e-05,3.093433949314069e-05,0.001540181413118439,0.0009083722243304575,0.0006318091887879816,4.76509594028633e-05,2.1695307034559593e-05,2.595565236830371e-05
-41.8327275220017,-1395.389590554733,5.793721549679314e-05,2.685808029705219e-05,3.107913519974095e-05,0.0015616570289541333,0.0009112046200156189,0.0006504524089385144,4.813805871430698e-05,2.204878836596979e-05,2.6089270348337193e-05
-41.74964365403347,-1392.6182110302946,5.864769747977578e-05,2.7429324924307615e-05,3.121837255546817e-05,0.0015836813512144156,0.0009140505565021821,0.0006696307947122334,4.862541796879945e-05,2.2413179285016673e-05,2.6212238683782783e-05
-41.66655978606524,-1389.8468315058562,5.929961680808309e-05,2.7944335855046314e-05,3.135528095303677e-05,0.0016053053784544401,0.0009169101216643368,0.0006883952567901032,4.9132123046216076e-05,2.280240601134617e-05,2.6329717034869906e-05
-41.583475918097015,-1387.0754519814177,5.988620124879927e-05,2.8392942636591347e-05,3.149325861220792e-05,0.0016269617705857988,0.0009197834040997907,0.0007071783664860081,4.967736028977525e-05,2.3230386907812086e-05,2.6446973381963157e-05
-41.500392050128795,-1384.3040724569796,6.050252037779386e-05,2.886824261422173e-05,3.163427776357213e-05,0.0016500536995927573,0.000922670493137008,0.0007273832064557493,5.027326704344328e-05,2.3706774850632163e-05,2.6566492192811115e-05
-41.41730818216057,-1381.532692932541,6.127754839220026e-05,2.9496251751654127e-05,3.178129664054614e-05,0.001675606496513794,0.0009255714788425359,0.000750035017671258,5.094281878547868e-05,2.425139843756943e-05,2.669142034790925e-05
-41.33422431419234,-1378.7613134081028,6.213254480316869e-05,3.0190346096438435e-05,3.1942198706730256e-05,0.0017041443105122612,0.0009284864520284126,0.0007756578584838487,5.171642501954731e-05,2.4886389267633598e-05,2.6830035751913717e-05
-41.25114044622411,-1375.9899338836642,6.315082515255494e-05,3.101515676311461e-05,3.213566838944034e-05,0.0017363026568059847,0.0009314155042596704,0.0008048871525463143,5.265266646621374e-05,2.565080829305282e-05,2.700185817316092e-05
-41.168056578255886,-1373.2185543592257,6.451183374997003e-05,3.216913001651107e-05,3.234270373345896e-05,0.0017717823240372018,0.0009343587278619206,0.0008374235961752811,5.368542975211848e-05,2.6508593148240208e-05,2.717683660387827e-05
-41.084972710287666,-1370.4471748347876,6.62607982782861e-05,3.3682320848385004e-05,3.25784774299011e-05,0.00180825587653532,0.0009373162159290339,0.0008709396606062862,5.485813594650737e-05,2.7499649062914755e-05,2.735848688359261e-05
-41.00188884231944,-1367.675795310349,6.773559073073112e-05,3.492688069021737e-05,3.2808710040513746e-05,0.0018433870343332005,0.0009402880623309101,0.0009030989720022904,5.614111554387077e-05,2.86090953487633e-05,2.7532020195107475e-05
-40.91880497435121,-1364.9044157859107,6.911416146526348e-05,3.6090455191527403e-05,3.302370627373608e-05,0.0018773970389252665,0.0009432743617213398,0.0009341226772039267,5.753280186042253e-05,2.9836976820169257e-05,2.769582504025327e-05
-40.835721106382984,-1362.1330362614722,7.039974067596521e-05,3.719033420080123e-05,3.320940647516397e-05,0.0019127967926066882,0.0009462752095459607,0.0009665215830607274,5.903928802836003e-05,3.119472775032964e-05,2.784456027803039e-05
-40.752637238414756,-1359.3616567370339,7.228008315822944e-05,3.88771242617428e-05,3.340295889648663e-05,0.001951990452699189,0.0009492907020503111,0.0010026997506488778,6.078269872367232e-05,3.2781005377867277e-05,2.8001693345805044e-05
-40.669553370446536,-1356.5902772125955,7.43990500274478e-05,4.0796882170768815e-05,3.360216785667899e-05,0.0019963655199766446,0.0009523209362879765,0.0010440445836886682,6.273336991573485e-05,3.456572000949745e-05,2.8167649906237398e-05
