frequency,parallel,perpendicular
-999.67,238.73344879,228.93340187999996
-999.4100559999999,238.73344879,228.93340187999996
-999.1501119999999,263.296559,241.38957720000002
-998.8901679999999,263.296559,241.38957720000002
-998.630224,256.65372060000004,225.71639277999998
-998.37028,256.65372060000004,225.71639277999998
-998.110336,252.82297979999998,258.5744501
-997.8503919999999,252.82297979999998,258.5744501
-997.5904479999999,258.0370706,250.22532388999997
-997.3305039999999,258.0370706,250.22532388999997
-997.07056,251.14939899000004,231.75760122
-996.810616,251.14939899000004,231.75760122
-996.550672,251.14939899000004,231.75760122
-996.290728,276.1745830701,242.61570459
-996.0307839999999,276.1745830701,242.61570459
-995.7708399999999,308.4090916,248.00708668
-995.510896,308.4090916,248.00708668
-995.250952,264.77222759,251.26162488999998
-994.991008,264.77222759,251.26162488999998
-994.731064,285.2687413,236.6427209
-994.4711199999999,285.2687413,236.6427209
-994.2111759999999,285.2687413,236.6427209
-993.951232,227.73155060000002,206.44842160000002
-993.691288,227.73155060000002,206.44842160000002
-993.431344,256.64797209,236.63097029999997
-993.1714,256.64797209,236.63097029999997
-992.9114559999999,247.6917202,242.5519308
-992.6515119999999,247.6917202,242.5519308
-992.391568,254.04285199999995,248.08653389999998
-992.131624,254.04285199999995,248.08653389999998
-991.87168,262.81810959999996,255.33118
-991.611736,262.81810959999996,255.33118
-991.3517919999999,262.81810959999996,255.33118
-991.0918479999999,267.04819180000004,224.58423439
-990.831904,267.04819180000004,224.58423439
-990.57196,270.1987402000001,240.6362413
-990.312016,270.1987402000001,240.6362413
-990.052072,275.74831989999996,234.98887940000003
-989.7921279999999,275.74831989999996,234.98887940000003
-989.5321839999999,259.73762581000005,231.84720131999998
-989.27224,259.73762581000005,231.84720131999998
-989.012296,255.70071768999998,246.43856000000002
-988.752352,255.70071768999998,246.43856000000002
-988.492408,255.70071768999998,246.43856000000002
-988.2324639999999,283.59106869999994,234.872139
-987.9725199999999,283.59106869999994,234.872139
-987.712576,289.893764401,251.75479960000004
-987.452632,289.893764401,251.75479960000004
-987.192688,270.5237517,246.87967990000004
-986.932744,270.5237517,246.87967990000004
-986.6727999999999,263.0202603,250.53787889999998
-986.4128559999999,263.0202603,250.53787889999998
-986.152912,275.2108404,263.39619058
-985.892968,275.2108404,263.39619058
-985.633024,275.2108404,263.39619058
-985.37308,306.5467306,243.3866113
-985.1131359999999,306.5467306,243.3866113
-984.8531919999999,272.64320960000003,262.44571419
-984.5932479999999,272.64320960000003,262.44571419
-984.333304,288.47286030000004,248.50398637
-984.07336,288.47286030000004,248.50398637
-983.813416,247.40867501000002,256.92837421999997
-983.5534719999999,247.40867501000002,256.92837421999997
-983.2935279999999,247.40867501000002,256.92837421999997
-983.0335839999999,293.73275029999996,244.2203117
-982.77364,293.73275029999996,244.2203117
-982.513696,289.2274797,224.0552101
-982.253752,289.2274797,224.0552101
-981.993808,334.5923902,231.6251171
-981.7338639999999,334.5923902,231.6251171
-981.4739199999999,257.6388491,250.52808898999996
-981.213976,257.6388491,250.52808898999996
-980.954032,275.58546029999997,268.453052521
-980.694088,275.58546029999997,268.453052521
-980.434144,275.58546029999997,268.453052521
-980.1741999999999,308.74879939999994,215.1777689
-979.9142559999999,308.74879939999994,215.1777689
-979.654312,281.78867693,273.6360004
-979.394368,281.78867693,273.6360004
-979.134424,256.6750394,222.67691330999997
-978.87448,256.6750394,222.67691330999997
-978.6145359999999,264.10496182,246.95236610999999
