temperature,mode,peak_mid,peak_fwhm
0.0,0,3.9934495828355403,0.0006420447000617924
0.0,1,3.9934495828355403,0.0006420446970627817
0.0,2,15.92049814999569,0.0403950123592849
0.0,3,15.92049814999569,0.0403950123592849
0.0,4,20.852464218590345,0.09291709148701706
50.0,0,3.9933532736699227,0.0007026774382555806
50.0,1,3.9933532736699227,0.0007026774382555806
50.0,2,15.920771139726398,0.04073189328991854
50.0,3,15.920771139726398,0.04073189328991854
50.0,4,20.852420432304918,0.09435435278551545
100.0,0,3.9925420642440357,0.0012189451479427441
100.0,1,3.9925420642440357,0.0012189451479427441
100.0,2,15.925092997502464,0.04435962585202937
100.0,3,15.925092997502464,0.04435962585202937
100.0,4,20.849652502453313,0.10542880276010341
150.0,0,3.9911301362656353,0.001950830961556832
150.0,1,3.9911301362656353,0.001950830961556832
150.0,2,15.932684388361539,0.0515702791336151
150.0,3,15.932684388361539,0.0515702791336151
150.0,4,20.842326598056346,0.12176182031861872
200.0,0,3.989440582005351,0.0027487292870967774
200.0,1,3.989440582005351,0.0027487292870967774
200.0,2,15.93956844136591,0.060769452277506075
200.0,3,15.93956844136591,0.060769452277506075
200.0,4,20.830017250083486,0.13879109596114916
250.0,0,3.987621590483655,0.003573701130676933
250.0,1,3.987621590483655,0.003573701130676933
250.0,2,15.944001170605109,0.0709623097597256
250.0,3,15.944001170605109,0.0709623097597256
250.0,4,20.813443663680456,0.15466873378889906
300.0,0,3.9857335341211613,0.0044057564187852255
300.0,1,3.9857335341211613,0.0044057564187852255
300.0,2,15.946019019763254,0.08176595806888232
300.0,3,15.946019019763254,0.08176595806888232
300.0,4,20.794045498852256,0.16865242587322088
350.0,0,3.9838038289536173,0.005235648913253608
350.0,1,3.9838038289536173,0.005235648909716716
350.0,2,15.946010655446315,0.092900627641023
350.0,3,15.946010655446315,0.092900627641023
350.0,4,20.77278735168503,0.1808552172597697
400.0,0,3.981846704900353,0.006060226957666453
400.0,1,3.981846704900353,0.006060226957666453
400.0,2,15.944451490338702,0.10426841757838895
400.0,3,15.944451490338702,0.10426841757838895
400.0,4,20.750520441318493,0.19236521305344043
