frequency,intensity_parallel,intensity_perpendicular,intensity_unpolarized,intensity_isotropic
567.6880716916427,1.1033117960908764e-05,4.204769691092956e-06,1.523788765200172e-05,0.0006670532161093186
567.9305698000117,1.100365949010294e-05,4.188925724652855e-06,1.5192585214755795e-05,0.000664689010568869
568.1730679083805,1.09681599920734e-05,4.169029325780921e-06,1.513718931785432e-05,0.0006619109209295214
568.4155660167494,1.0935620072494225e-05,4.147280531693596e-06,1.5082900604187821e-05,0.0006591800025543362
568.6580641251184,1.0911412078636033e-05,4.125901640955362e-06,1.5037313719591395e-05,0.0006568123856304444
568.9005622334873,1.0896740918883552e-05,4.106805585526548e-06,1.5003546504410101e-05,0.000654943101204242
569.1430603418563,1.089040441514758e-05,4.0915347640816845e-06,1.4981939179229264e-05,0.0006535958813522903
569.3855584502252,1.0890873437521764e-05,4.081028862020554e-06,1.497190229954232e-05,0.0006527629029576183
569.628056558594,1.089834791257697e-05,4.075415090742778e-06,1.4973763003319748e-05,0.0006524798347495428
569.870554666963,1.091558260282569e-05,4.0742134287055555e-06,1.4989796031531244e-05,0.0006528652957821303
570.1130527753319,1.0947760540732931e-05,4.076759232760367e-06,1.5024519773493298e-05,0.0006541228783985599
570.3555508837009,1.1001096442703331e-05,4.082955088346055e-06,1.5084051531049386e-05,0.0006565158650248542
570.5980489920697,1.1080088583483435e-05,4.093378952586836e-06,1.517346753607027e-05,0.000660265090155857
570.8405471004386,1.1185105755021375e-05,4.109132311256828e-06,1.5294238066278204e-05,0.0006654530342298325
571.0830452088076,1.1310914420833152e-05,4.1309463938119545e-06,1.5441860814645107e-05,0.0006719251398232222
571.3255433171764,1.1448364241912136e-05,4.1588341227550035e-06,1.5607198364667138e-05,0.000679331302193341
571.5680414255455,1.1587296791591187e-05,4.191814962948568e-06,1.5779111754539754e-05,0.0006872058164290276
571.8105395339144,1.1719686896969713e-05,4.228289261535009e-06,1.594797615850472e-05,0.0006950890315197499
572.0530376422832,1.1841188172890083e-05,4.266471158824385e-06,1.610765933171447e-05,0.0007026067996463288
572.2955357506521,1.1950243102750743e-05,4.304554872903497e-06,1.625479797565424e-05,0.0007094624285318542
572.5380338590211,1.2045797308739006e-05,4.3407879676507315e-06,1.6386585276389736e-05,0.0007153894630024698
572.7805319673901,1.2125478409838961e-05,4.37343263008063e-06,1.649891103991959e-05,0.0007201174159425634
573.0230300757589,1.2184810969454575e-05,4.400735219447352e-06,1.6585546188901925e-05,0.0007233633772533787
573.2655281841278,1.2219112495691422e-05,4.421307178354023e-06,1.6640419674045444e-05,0.0007249248923942216
573.5080262924967,1.2225809918724327e-05,4.43438131109679e-06,1.666019122982112e-05,0.0007247585212642797
573.7505244008656,1.2206639516669463e-05,4.440053125210378e-06,1.6646692641879842e-05,0.0007230487740031229
573.9930225092346,1.2167872834273523e-05,4.439199948001328e-06,1.660707278227485e-05,0.0007201892170423294
574.2355206176037,1.211886468617594e-05,4.433110868223808e-06,1.655197555439975e-05,0.000716699687718947
574.4780187259726,1.2069194507560528e-05,4.423032699785929e-06,1.6492227207346457e-05,0.0007130942737659603
574.7205168343414,1.2025915420096052e-05,4.409705861498221e-06,1.6435621281594273e-05,0.0007097519739305115
574.9630149427104,1.1991529187524626e-05,4.39305132251619e-06,1.6384580510040816e-05,0.000706814642664024
575.2055130510794,1.1964282357404548e-05,4.372420352733936e-06,1.6336702710138485e-05,0.0007042007817259318
575.4480111594482,1.1939872666839136e-05,4.347164058809209e-06,1.6287036725648345e-05,0.0007016912199338268
575.6905092678171,1.1914588807245221e-05,4.317496374940967e-06,1.6232085182186188e-05,0.0006990987692378155
575.933007376186,1.1887953258696097e-05,4.285086311283227e-06,1.6173039569979325e-05,0.000696417593030622
576.175505484555,1.1863336212957177e-05,4.2527940017884495e-06,1.6116130214745626e-05,0.0006938602446891864
576.4180035929239,1.1847084067291093e-05,4.224003300812075e-06,1.607108736810317e-05,0.0006918098662075147
576.6605017012929,1.1845303298102844e-05,4.201375236718548e-06,1.604667853482139e-05,0.0006906394701778885
576.9029998096618,1.1861254320229952e-05,4.186121853037886e-06,1.604737617326784e-05,0.0006905652376718154
577.1454979180306,1.1894017492079349e-05,4.177885660235537e-06,1.6071903152314887e-05,0.0006915714264274195
577.3879960263996,1.1939912649931374e-05,4.175476564158142e-06,1.6115389214089517e-05,0.0006934853248665594
577.6304941347685,1.1995400244189006e-05,4.1778792995124836e-06,1.617327954370149e-05,0.0006961276340111738
577.8729922431374,1.2060350187950418e-05,4.185122333194097e-06,1.6245472521144514e-05,0.0006994782554930931
578.1154903515063,1.2139313235887993e-05,4.198486871608444e-06,1.6337800107496438e-05,0.0007037361997835507
578.3579884598753,1.2240025321134481e-05,4.219966704862497e-06,1.645999202599698e-05,0.0007092372937194852
578.6004865682442,1.2369841718787731e-05,4.251453196590194e-06,1.6621294915377925e-05,0.0007162751303754634
578.842984676613,1.2532893358598294e-05,4.294204247269161e-06,1.6827097605867453e-05,0.0007249626885612513
579.085482784982,1.2729336959245762e-05,4.348869291814833e-06,1.7078206251060594e-05,0.000735201503654683
579.327980893351,1.2957021050228467e-05,4.415917951763817e-06,1.7372939001992283e-05,0.0007467760256266213
579.57047900172,1.3213312872776639e-05,4.495765130851087e-06,1.7709078003627726e-05,0.0007594527004457325
579.8129771100888,1.3495484341116347e-05,4.588400255876918e-06,1.8083884596993264e-05,0.0007730190222100779
580.0554752184577,1.3798152858228815e-05,4.692248897440632e-06,1.8490401755669447e-05,0.0007871747526290129
580.2979733268267,1.411001960032967e-05,4.803129179569986e-06,1.8913148779899655e-05,0.0008013864861991043
580.5404714351955,1.4412463368914956e-05,4.914139442902038e-06,1.9326602811816995e-05,0.0008148185155612032
580.7829695435645,1.4682236623265306e-05,5.016948108058535e-06,1.969918473132384e-05,0.0008264536325676889
581.0254676519334,1.4896809910380418e-05,5.103887095710577e-06,2.0000697006090995e-05,0.0008353262106054947
581.2679657603022,1.5040895475812313e-05,5.170177514304974e-06,2.0211072990117287e-05,0.0008408159181247631
581.5104638686712,1.5110548534037209e-05,5.215136167167783e-06,2.032568470120499e-05,0.0008428322959063866
581.7529619770401,1.5113451883003588e-05,5.241907087107413e-06,2.0355358970111002e-05,0.0008418219777711055
581.9954600854091,1.5065657484937892e-05,5.256072776967867e-06,2.032173026190576e-05,0.0008386116724369369
