,temperature,col,x0,Gamma,y0,zeta,temperature_exp
0,100.78854960363864,80.0K,569.685487848316,1.528237376573312,28509.644877100684,0.17504030180225716,80.0
1,108.61833767794788,90.0K,569.7134493642915,1.5364781870635866,28399.28634355525,0.16578904807960182,90.0
2,116.44812575225711,100.0K,569.6860692574553,1.5590042145898522,28136.315621576607,0.17194031132708099,100.0
3,124.27791382656635,110.0K,569.6818920524335,1.5791307194293864,28777.55801918841,0.17108759819937208,110.0
4,132.10770190087558,120.0K,569.6849693387807,1.5965292475263184,28617.080016433236,0.1676085971568076,120.0
5,139.9374899751848,130.0K,569.6738576515705,1.6094044355999906,28487.59760035359,0.1636555007246064,130.0
6,147.76727804949405,140.0K,569.6386564722259,1.6267000856528948,28340.488776862177,0.15364305949546822,140.0
7,155.5970661238033,150.0K,569.6840729372385,1.6432765070011204,28641.419241296404,0.15632094767911237,150.0
8,163.42685419811252,160.0K,569.6411349072798,1.6695240492674892,28129.700223757878,0.14754983763320742,160.0
9,171.25664227242177,170.0K,569.5988675503181,1.6970124078160376,28187.78539799072,0.15079517921431654,170.0
10,179.086430346731,180.0K,569.5461794848607,1.7191393695450141,28184.723474900362,0.1397134747706474,180.0
11,186.91621842104024,190.0K,569.4267064990673,1.734277994978815,28677.316901439983,0.11383990968673956,190.0
12,194.74600649534946,200.0K,569.4113636811122,1.7416188955026162,28385.16645255122,0.10373812671291734,200.0
13,202.5757945696587,210.0K,569.3855755489868,1.7714409042637045,28895.62026852368,0.09995018894237,210.0
14,210.40558264396793,220.0K,569.3541346868748,1.7904040794350164,29868.85682966206,0.08649978333129589,220.0
15,218.23537071827718,230.0K,569.251034650977,1.7961927533938293,29685.388174451156,0.06963527080033978,230.0
16,226.0651587925864,240.0K,569.2339854286208,1.8155430551685394,30501.965053069773,0.05772361184090589,240.0
17,233.89494686689565,250.0K,569.1474191238962,1.845011895153732,31599.18349655159,0.049538485991850824,250.0
18,241.72473494120487,260.0K,569.0892402531657,1.8820329096567188,32021.98579550956,0.03358368530596464,260.0
19,249.55452301551412,270.0K,569.0164476619294,1.9071303319565256,32608.57795653737,0.023039502701346026,270.0
20,257.3843110898233,280.0K,568.9168742320815,1.9544722615179795,32986.78580599956,0.012092728144548006,280.0
21,265.21409916413256,290.0K,568.8108481700277,1.9884065058738263,32797.44543230206,9.659594814472345e-16,290.0
22,273.0438872384418,300.0K,568.7038102866277,2.039949079800636,32823.651664181256,1.697104509212768e-17,300.0
23,280.87367531275106,310.0K,568.6090413575522,2.0976179683414746,32891.26082807896,2.9782671439327776e-17,310.0
24,288.7034633870603,320.0K,568.4754201236258,2.164920800635741,32400.199385808624,7.574633919970728e-19,320.0
25,296.53325146136956,330.0K,568.390866053741,2.2297393330778648,31964.13080432463,6.055644444860377e-18,330.0
26,304.3630395356788,340.0K,568.2417932684165,2.3031244111126443,31561.084996170965,6.520938126855878e-19,340.0
27,312.19282760998794,350.0K,568.1640603736938,2.3763805898070647,31730.60924465678,4.139851675810098e-15,350.0
28,320.0226156842972,360.0K,568.0552012230328,2.4390839642361186,31417.5901870387,2.7927096763028405e-16,360.0
29,327.85240375860644,370.0K,567.9291567173061,2.5244870478226047,31667.85286700848,1.340573475972229e-16,370.0
30,335.6821918329157,380.0K,567.806435621495,2.5911668677146458,31886.649640728658,9.252455199172641e-18,380.0
31,343.51197990722494,390.0K,567.6921779377541,2.675573475228924,32262.20853248364,2.3716169186704343e-17,390.0
32,351.3417679815342,400.0K,567.5619677835667,2.7690892393914117,32706.205378268696,3.7918529686399294e-17,400.0
