frequency,frequency_cm,dos,dos_weighted,dos_convoluted,dos_weighted_convoluted,2w_dos_weighted
-26.4219019118,-881.3397804623892,0.0,0.0,0.0,0.0,0.0
-26.388791759100002,-880.2353446496644,0.0,0.0,0.0,0.0,1.06067969834618e-12
-26.3556816063,-879.1309088336039,0.0,0.0,0.0,0.0,-1.0167329660389033e-20
-26.3225714535,-878.0264730175435,0.0,0.0,0.0,0.0,-4.0065321966767316e-12
-26.289461300699998,-876.9220372014829,0.0,0.0,0.0,0.0,3.840547831239489e-20
-26.256351148,-875.8176013887582,0.0,0.0,0.0,0.0,1.5134109184076506e-11
-26.2232409952,-874.7131655726978,0.0,0.0,0.0,0.0,4.049600646964489e-27
-26.190130842400002,-873.6087297566373,0.0,0.0,0.0,0.0,-5.7167468802807355e-11
-26.157020689699998,-872.5042939439123,0.0,0.0,0.0,0.0,-5.479765496877286e-19
-26.1239105369,-871.399858127852,0.0,0.0,0.0,0.0,2.1594589999289462e-10
-26.0908003841,-870.2954223117915,0.0,0.0,0.0,0.0,-2.070023955534123e-18
-26.0576902313,-869.1909864957311,0.0,0.0,0.0,0.0,-8.157271055362776e-10
-26.0245800786,-868.0865506830063,0.0,0.0,0.0,0.0,0.0
-25.991469925799997,-866.9821148669457,0.0,0.0,0.0,0.0,3.08140494573744e-09
-25.958359772999998,-865.8776790508853,0.0,0.0,0.0,0.0,-1.047823272167282e-21
-25.9252496203,-864.7732432381606,0.0,0.0,0.0,0.0,-1.1640098001285009e-08
-25.8921394675,-863.6688074221001,0.0,0.0,0.0,0.0,1.1157774624099342e-16
-25.8590293147,-862.5643716060396,0.0,0.0,0.0,0.0,4.39712195098912e-08
-25.8259191619,-861.4599357899792,0.0,0.0,0.0,0.0,-4.215090273268624e-16
-25.7928090092,-860.3554999772543,0.0,0.0,0.0,0.0,-1.6610565462918283e-07
-25.7596988564,-859.2510641611939,0.0,0.0,0.0,0.0,0.0
-25.7265887036,-858.1466283451335,0.0,0.0,0.0,0.0,6.27486501250669e-07
-25.693478550800002,-857.0421925290731,0.0,0.0,0.0,0.0,2.134509468528218e-19
-25.660368398099997,-855.9377567163481,0.0,0.0,0.0,0.0,-2.3704371634619167e-06
-25.6272582453,-854.8333209002876,0.0,0.0,0.0,0.0,2.2723382936130094e-14
-25.5941480925,-853.7288850842273,0.0,0.0,0.0,0.0,8.954815260319964e-06
-25.561037939800002,-852.6244492715025,0.0,0.0,0.0,0.0,3.0486923272022894e-18
-25.527927787,-851.5200134554419,0.0,0.0,0.0,0.0,-3.382898432013889e-05
-25.4948176342,-850.4155776393816,0.0,0.0,0.0,0.0,9.704504002053083e-21
-25.461707481399998,-849.311141823321,0.0,0.0,0.0,0.0,0.00012779841356191018
-25.4285973287,-848.2067060105962,0.0,0.0,0.0,0.0,-1.2250696753124256e-12
-25.3954871759,-847.1022701945359,0.0,0.0,0.0,0.0,-0.0004827987916171143
-25.3623770231,-845.9978343784753,0.0,0.0,0.0,0.0,4.628273876679155e-12
-25.329266870399998,-844.8933985657504,0.0,0.0,0.0,0.0,0.004618160633163104
-25.2961567176,-843.7889627496901,0.0,0.0,0.0023516810150838352,5.4584250263234924e-05,0.022490577404585415
-25.2630465648,-842.6845269336296,0.0,0.0,0.016746904381994304,0.0003910887998143816,0.056922925491149905
