frequency,frequency_cm,2PDOS,2PDOS_1,2PDOS_2,2wDOS,2wDOS_1,2wDOS_2,DOS_convolution,DOS_convolution_1,DOS_convolution_2
-25.275683231036748,-843.1060407475878,0.02562563158890568,0.013956135611978844,0.011669495976926837,0.08383133141200086,0.029068015530780533,0.05476331588122032,0.0239072302809675,0.012968349921866929,0.010938880359100574
-25.226268405560624,-841.457739592656,0.02602034474626462,0.014299057426921623,0.011721287319342997,0.08785535074368178,0.029164886273301827,0.05869046447037996,0.024242809667726822,0.0132551944821832,0.010987615185543625
-25.1768535800845,-839.8094384377242,0.0263632725329598,0.014589668133760818,0.011773604399198983,0.0910221263643508,0.02926224659045839,0.061759879773892405,0.024620508963617817,0.013583598449802977,0.011036910513814838
-25.12743875460838,-838.1611372827927,0.026679695070940285,0.014852926745372828,0.011826768325567458,0.09325765104221248,0.029360099812926567,0.06389755122928592,0.025008803387249215,0.013921573135831445,0.011087230251417769
-25.078023929132257,-836.5128361278609,0.02701806132475877,0.01513694711217573,0.011881114212583043,0.09487610899164503,0.029458449299946607,0.06541765969169842,0.025410615386043604,0.014271682463250673,0.011138932922792933
-25.028609103656134,-834.864534972929,0.027445906185321042,0.01550851247829684,0.0119373937070242,0.09623239466961915,0.02955729843961875,0.0666750962300004,0.025832969499242645,0.014640296711000223,0.011192672788242423
-24.97919427818001,-833.2162338179972,0.02792422351000881,0.015928759202310818,0.011995464307697993,0.09752828424820059,0.029656650649203052,0.06787163359899753,0.026260837795051208,0.015013062573876195,0.011247775221175014
-24.92977945270389,-831.5679326630657,0.02847294316594856,0.01641836244418408,0.01205458072176448,0.09880259516732169,0.029756509375422832,0.06904608579189886,0.026679733978282848,0.015376021139551202,0.011303712838731647
-24.880364627227767,-829.9196315081339,0.029008804122902767,0.016893507743959913,0.012115296378942854,0.09998511971330676,0.02985687809477184,0.07012824161853491,0.027083070725687095,0.01572192203556745,0.011361148690119645
-24.830949801751643,-828.2713303532021,0.029421077844977477,0.017242483024888053,0.012178594820089424,0.10097731802524897,0.029957760313825122,0.07101955771142385,0.027467670950124833,0.016046437365989104,0.011421233584135729
-24.78153497627552,-826.6230291982703,0.029649616082270402,0.017405483027796737,0.012244133054473668,0.10172925536337582,0.030059159569553795,0.07167009579382203,0.027832181167881376,0.01634893294467856,0.011483248223202815
-24.7321201507994,-824.9747280433387,0.029811169854631274,0.01750002653115446,0.012311143323476813,0.10225339752192059,0.03016107942964362,0.07209231809227697,0.02817700840108039,0.01663076709287559,0.0115462413082048
-24.682705325323276,-823.3264268884069,0.029956597791195107,0.017575931106712434,0.012380666684482674,0.10258193944319789,0.030263523492817537,0.07231841595038035,0.028506543672782936,0.01689465163472885,0.011611892038054085
-24.633290499847153,-821.6781257334751,0.030135242904786932,0.017681211839677708,0.012454031065109226,0.10272471860379198,0.030366495389162147,0.07235822321462983,0.028824065583704518,0.017142658458034424,0.011681407125670092
-24.58387567437103,-820.0298245785433,0.030310103045534498,0.01778040872277997,0.012529694322754529,0.10268218117124545,0.03046999878045824,0.07221218239078721,0.029125532711029068,0.017372686812277882,0.011752845898751186
-24.53446084889491,-818.3815234236117,0.03051404762836179,0.017904287207380867,0.01260976042098092,0.1024835174416102,0.030574037360515446,0.07190948008109475,0.02941438180746745,0.017585928054468403,0.011828453752999048
-24.485046023418786,-816.7332222686799,0.030751836046992154,0.01805664382372995,0.012695192223262205,0.10218497551001018,0.030678614855510995,0.0715063606544992,0.029694623599636854,0.017785541053976995,0.011909082545659859
-24.435631197942662,-815.0849211137481,0.031085793269732674,0.01830007323596221,0.012785720033770463,0.1018415043631822,0.03078373502433271,0.0710577693388495,0.029968757702118303,0.017974024517270558,0.011994733184847745
-24.38621637246654,-813.4366199588163,0.031517213718835355,0.01863169417199797,0.012885519546837386,0.10148923108478641,0.03088940165892623,0.07059982942586018,0.030246886551535367,0.01815781688415412,0.012089069667381243
-24.33680154699042,-811.7883188038847,0.03214026040095483,0.019143999569088105,0.012996260831866722,0.10114706627322496,0.030995618584646625,0.07015144768857834,0.030530119835596083,0.01833631454035378,0.012193805295242305
-24.287386721514295,-810.140017648953,0.032924841507673844,0.019801869853006398,0.013122971654667442,0.1008215919852394,0.03110238966061441,0.06971920232462499,0.030824218027431457,0.018510356990914398,0.012313861036517059
-24.23797189603817,-808.4917164940211,0.033830637342865864,0.02055987129552197,0.013270766047343898,0.100516618868245,0.031209718780075897,0.0693069000881691,0.03113662092113409,0.01868328134913978,0.01245333957199431
-24.188557070562048,-806.8434153390893,0.03476325422179159,0.021327379492957616,0.013435874728833973,0.1002386794282466,0.031317609870768204,0.0689210695574784,0.03146258976528844,0.018854220576792487,0.012608369188495953
-24.139142245085928,-805.1951141841578,0.0355353835008516,0.021921246369773106,0.013614137131078495,0.09998638037383209,0.03142606689528878,0.06856031347854331,0.031798124146602796,0.019022672645991466,0.012775451500611327
-24.089727419609805,-803.546813029226,0.035931097343595224,0.022126338903826127,0.013804758439769096,0.09974891233152527,0.031535093851469645,0.06821381848005563,0.03214379615004767,0.019189765351203848,0.012954030798843826
-24.04031259413368,-801.8985118742942,0.03605526509332345,0.02204989026746581,0.014005374825857642,0.09950644411610805,0.03164469477275621,0.06786174934335185,0.032496757046071925,0.019355266838122904,0.013141490207949023
-23.990897768657558,-800.2502107193624,0.036083522584450724,0.021871502821567333,0.014212019762883393,0.09922955173862053,0.03175487372859106,0.06747467801002946,0.03285230927043879,0.01951857168153518,0.013333737588903608
