frequency_cm,intensity_raman_unpolarized
-698.293,0.0039966213051139
-698.117,0.002255101835608
-697.941,0.0021744850149571
-697.766,0.0041222349008561
-697.591,0.0033963337207792
-697.415,0.0033973132967593
-697.24,0.0024660910891749
-697.064,0.0021827425551555
-696.889,0.0029959787352261
-696.714,0.0032791874656832
-696.538,0.0009721605898799
-696.362,0.0043796210574345
-696.187,0.0028799522400902
-696.012,0.0032878647969861
-695.837,0.0028026243220162
-695.662,0.0022758157780941
-695.486,0.0021976482778112
-695.31,0.0022373968081566
-695.135,0.0025680518242819
-694.96,0.0032973820909158
-694.785,0.0022032466971939
-694.61,0.0009473876839712
-694.434,0.0025715507175155
-694.258,0.0039091461211402
-694.083,0.00221024467387
-693.908,0.0027791110747343
-693.733,0.0029854118684308
-693.558,0.0026586757268525
-693.383,0.0024178050310888
-693.207,0.0012861602465239
-693.032,0.0018550968344827
-692.857,0.0024619622239712
-692.682,0.0023809256122158
-692.506,0.0034780703013902
-692.331,0.0042135587722823
-692.156,0.0025105982664851
-691.981,0.0042569461896324
-691.806,0.0033218752945955
-691.631,0.0032427978348003
-691.455,0.0019476100823367
-691.28,0.0020731540616112
-691.105,0.0027646953302776
-690.93,0.0031286606849478
-690.755,0.0038178226301318
-690.58,0.0028064032027921
-690.405,0.0030930408295972
-690.23,0.0031754771888549
-690.055,0.0034619748218889
-689.88,0.0039074669567223
-689.705,0.0032628119986396
-689.53,0.0037083741303586
-689.355,0.0037085841210153
-689.18,0.001198685442968
-689.005,0.0024562240010263
-688.83,0.0028247380120046
-688.655,0.0022182224167351
-688.48,0.0016492858287762
-688.305,0.003720550545104
-688.13,0.0032343301137362
-687.955,0.0035591769100311
-687.78,0.003074636213708
-687.605,0.0031999700121168
-687.43,0.0022676982316668
-687.255,0.0031192833847893
-687.08,0.0021476826748894
-686.905,0.0013822426698104
-686.73,0.0016256327779321
-686.556,0.0023553830258794
-686.381,0.0036961277187277
-686.206,0.0035745724206768
-686.031,0.0026059808160205
